poi_id,name,theme,class_name,subclass_n,x,y,geom
520,ΒΙΟΛΟΓΙΚΑ ΠΡΟΪΟΝΤΑ ΓΕΥΣΗ ΚΑΙ ΥΓΕΙΑ,Αγαθά - υπηρεσίες,Καταστήματα,_,481968.7398,4211232.6651,MULTIPOINT (481968.7397999996 4211232.665100001)
521,ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ ΑΜΑΡΟΥΣΙΟΥ,Διάφορα,Σημεία γενικού ενδιαφέροντος,Γειτονιές,482730.35,4211239.22,MULTIPOINT (482730.3499999996 4211239.220000001)
522,ΑΝΑΓΝΩΣΤΕΛΗ ΣΤΥΛΙΑΝΗ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,483526.4486,4211251.1284,MULTIPOINT (483526.4485999998 4211251.1284)
523,ΒΟΥΛΚΑΝΙΖΑΤΕΡ ΠΙΤΤΑΣ,Αυτοκίνηση,Συνεργεία αυτοκινήτων,_,483077.0577,4211253.7224,MULTIPOINT (483077.0576999998 4211253.7224)
524,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,483092.984,4211257.7096,MULTIPOINT (483092.9840000002 4211257.7096)
525,ΝΗΠΙΑΓΩΓΕΙΟ ΑΜΑΡΟΥΣΙΟΥ 9Ο,Εκπαίδευση,Πρωτοβάθμια,Νηπιαγωγεία,481975.4287,4211258.936,MULTIPOINT (481975.4287 4211258.936000001)
526,ΦΑΡΜΑΚΕΙΟ,Περίθαλψη,Φαρμακεία,_,483863.661,4211259.043,MULTIPOINT (483863.6610000003 4211259.043)
527,ΦΑΡΜΑΚΕΙΟ ΔΕΡΔΕΛΗΣ ΓΕΩΡΓΙΟΣ & ΣΙΑ ΟΕ,Περίθαλψη,Φαρμακεία,_,482818.8771,4211266.4889,MULTIPOINT (482818.8771000002 4211266.4889)
528,ΜΑΡΗΣ ΙΩΑΝΝΗΣ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,482369.9893,4211271.2086,MULTIPOINT (482369.9892999995 4211271.2086)
529,ΦΑΡΜΑΚΕΙΟ ΕΥΘΥΜΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ,Περίθαλψη,Φαρμακεία,_,483599.2962,4211275.2297,MULTIPOINT (483599.2961999997 4211275.229699999)
530,ΣΟΡΟΓΚΑ ΕΙΡΗΝΗ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,483599.2962,4211275.2297,MULTIPOINT (483599.2961999997 4211275.229699999)
531,ΤΗΝΙΑΚΟΥ ΕΥΦΡΟΣΥΝΗ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,482808.5493,4211284.2486,MULTIPOINT (482808.5493000001 4211284.248600001)
532,ΔΗΜΟΤΙΚΟ ΕΙΔΙΚΟ ΣΙΚΙΑΡΙΔΕΙΟ ΙΔΡΥΜΑ ΠΡΩΤΟ,Εκπαίδευση,Πρωτοβάθμια,Δημοτικά,484182.9816,4211289.1683,MULTIPOINT (484182.9815999996 4211289.168299999)
533,ΔΗΜΟΤΙΚΟ ΕΙΔΙΚΟ ΙΔΡΥΜΑ ΔΕΥΤΕΡΟ,Εκπαίδευση,Πρωτοβάθμια,Δημοτικά,484182.9816,4211289.1683,MULTIPOINT (484182.9815999996 4211289.168299999)
534,ΝΗΠΙΑΓΩΓΕΙΟ ΕΙΔΙΚΟ ΣΙΚΙΑΡΙΔ ΙΔΡΥΜ 1Ο,Εκπαίδευση,Πρωτοβάθμια,Νηπιαγωγεία,484182.9816,4211289.1683,MULTIPOINT (484182.9815999996 4211289.168299999)
535,ETEKA,Αυτοκίνηση,Πρατήρια βενζίνης,_,484855.4332,4211290.7545,MULTIPOINT (484855.4331999999 4211290.7545)
536,ΚΕΠ ΔΗΜΟΥ ΑΜΑΡΟΥΣΙΟΥ,Δημόσιος τομέας,Δημόσιες υπηρεσίες,ΚΕΠ,483072.8259,4211291.7287,MULTIPOINT (483072.8258999996 4211291.728700001)
537,ΔΗΜΟΣ ΑΜΑΡΟΥΣΙΟΥ,Δημόσιος τομέας,Δημόσιες υπηρεσίες,Δημαρχεία,483069.6083,4211291.8808,MULTIPOINT (483069.6083000004 4211291.880799999)
538,ΦΑΡΜΑΚΕΙΟ,Περίθαλψη,Φαρμακεία,_,482376.9359,4211293.1757,MULTIPOINT (482376.9358999999 4211293.1757)
539,ΝΗΠΙΑΓΩΓΕΙΟ ΑΜΑΡΟΥΣΙΟΥ 5Ο,Εκπαίδευση,Πρωτοβάθμια,Νηπιαγωγεία,482904.8985,4211298.0206,MULTIPOINT (482904.8985000001 4211298.0206)
540,ΦΑΡΜΑΚΕΙΟ ΜΠΕΛΔΕΚΟΥ - ΦΡΑΓΚΑΚΗ ΚΥΡΙΑΚΗ,Περίθαλψη,Φαρμακεία,_,482604.4828,4211298.2199,MULTIPOINT (482604.4828000003 4211298.219900001)
541,ΠΑΙΔΟΤΟΠΟΣ FUNMILY,Αθλητισμός και αναψυχή,Χώροι αναψυχής,Παιδότοπος,484847.6035,4211299.375,MULTIPOINT (484847.6035000002 4211299.375)
542,ΔΗΜΟΤΙΚΗ ΑΣΤΥΝΟΜΙΑ,Δημόσιος τομέας,Αστυνομία,_,483073.9664,4211304.5887,MULTIPOINT (483073.9664000003 4211304.5887)
543,ΣΙΔΗΡΑ ΣΟΥΛΤΑΝΑ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,482531.6047,4211308.7823,MULTIPOINT (482531.6047 4211308.782299999)
544,ΑΓΙΟΣ ΒΛΑΣΙΟΣ,Διάφορα,Θρησκευτικοί χώροι,Εκκλησίες,482497.533,4211313.8604,MULTIPOINT (482497.5329999998 4211313.860400001)
545,OFFICE 1 SUPERSTORE,Αγαθά - υπηρεσίες,Καταστήματα,Είδη γραφείου,483230.3393,4211315.2686,MULTIPOINT (483230.3393000001 4211315.2686)
546,ΔΗΜΟΤΙΚΟ ΑΜΑΡΟΥΣΙΟΥ ΔΕΚΑΤΟ ΕΚΤΟ,Εκπαίδευση,Πρωτοβάθμια,Δημοτικά,482456.8994,4211315.8594,MULTIPOINT (482456.8994000005 4211315.8594)
547,ΝΗΠΙΑΓΩΓΕΙΟ ΑΜΑΡΟΥΣΙΟΥ 10Ο,Εκπαίδευση,Πρωτοβάθμια,Νηπιαγωγεία,482456.8994,4211315.8594,MULTIPOINT (482456.8994000005 4211315.8594)
548,ΔΗΜΟΤΙΚΟ ΑΜΑΡΟΥΣΙΟΥ ΔΕΚΑΤΟ ΕΒΔΟΜΟ,Εκπαίδευση,Πρωτοβάθμια,Δημοτικά,481908.3044,4211321.1871,MULTIPOINT (481908.3043999998 4211321.187100001)
549,ΔΗΜΟΤΙΚΟ ΑΜΑΡΟΥΣΙΟΥ ΕΝΑΤΟ,Εκπαίδευση,Πρωτοβάθμια,Δημοτικά,481908.3044,4211321.1871,MULTIPOINT (481908.3043999998 4211321.187100001)
550,PARKING,Αυτοκίνηση,Χώροι στάθμευσης,_,483036.8047,4211333.6875,MULTIPOINT (483036.8047000002 4211333.6875)
551,ΦΑΡΜΑΚΕΙΟ ΠΕΤΡΙΤΣΗ ΓΕΩΡΓΙΑ,Περίθαλψη,Φαρμακεία,_,483985.6386,4211347.1036,MULTIPOINT (483985.6386000002 4211347.103599999)
552,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,484228.3974,4211350.7023,MULTIPOINT (484228.3974000001 4211350.702299999)
553,ΠΡΟΜΗΘΕΥΤΙΚΗ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,483920.9993,4211350.9986,MULTIPOINT (483920.9993000003 4211350.998600001)
554,ΝΤΕΜΟΥ ΑΙΚΑΤΕΡΙΝΗ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,482709.5093,4211351.7086,MULTIPOINT (482709.5093 4211351.7086)
555,ΤΟ ΚΟΥΤΟΥΚΙ ΤΟΥ ΚΩΣΤΑ,Φαγητό και ποτό,Ταβέρνες,Ψητοπωλεία,484751.1918,4211352.8095,MULTIPOINT (484751.1918000001 4211352.8095)
556,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,483931.2632,4211352.8255,MULTIPOINT (483931.2631999999 4211352.8255)
557,ΤΖΟΥΛΗΣ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Ζαχαροπλαστεία,484014.2124,4211353.0976,MULTIPOINT (484014.2123999996 4211353.0976)
558,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,481936.4729,4211363.8344,MULTIPOINT (481936.4729000004 4211363.8344)
559,ΨΗΤΟΠΟΛΙΣ,Φαγητό και ποτό,Ταβέρνες,Ψητοπωλεία,483934.4013,4211367.677,MULTIPOINT (483934.4013 4211367.676999999)
560,ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ,Διάφορα,Θρησκευτικοί χώροι,Εκκλησίες,482422.2012,4211368.7117,MULTIPOINT (482422.2012 4211368.7117)
561,ΤΡΙΤΟ ΓΥΜΝΑΣΙΟ ΑΜΑΡΟΥΣΙΟΥ,Εκπαίδευση,Δευτεροβάθμια,Γυμνάσια,481837.5567,4211369.4187,MULTIPOINT (481837.5566999996 4211369.4187)
562,NEOSET ΚΟΥΖΙΝΑ,Αγαθά - υπηρεσίες,Καταστήματα,Έπιπλα - είδη υγιεινής,484630.5293,4211378.4986,MULTIPOINT (484630.5292999996 4211378.498600001)
563,ΔΙΑΓΝΩΣΤΙΚΕΣ ΕΦΑΡΜΟΓΕΣ,Περίθαλψη,Κλινικές,Ιδιωτικές κλινικές,483690.6711,4211383.2357,MULTIPOINT (483690.6710999999 4211383.2357)
564,KISIC NENAD,Αγαθά - υπηρεσίες,Καταστήματα,Ανθοπωλεία,483191.9728,4211393.928,MULTIPOINT (483191.9727999996 4211393.927999999)
565,LATIN HOUSE CAFE,Διασκέδαση,Μπαρ,_,483072.7693,4211394.2986,MULTIPOINT (483072.7692999998 4211394.298599999)
566,ΦΑΡΜΑΚΕΙΟ ΚΟΥΝΑΣ ΓΕΩΡΓΙΟΣ,Περίθαλψη,Φαρμακεία,_,483145.6527,4211394.5711,MULTIPOINT (483145.6527000004 4211394.5711)
567,LA PIAZZA,Φαγητό και ποτό,Εστιατόρια,Πιτσαρίες,483125.9993,4211398.9986,MULTIPOINT (483125.9993000003 4211398.998600001)
568,ORIENTAL GOLDEN SUN,Φαγητό και ποτό,Εστιατόρια,Ασιατική κουζίνα,482852.8493,4211400.4986,MULTIPOINT (482852.8492999999 4211400.498600001)
569,ΝΗΠΙΑΓΩΓΕΙΟ ΑΜΑΡΟΥΣΙΟΥ 11Ο,Εκπαίδευση,Πρωτοβάθμια,Νηπιαγωγεία,481995.7784,4211400.8579,MULTIPOINT (481995.7784000002 4211400.857899999)
570,BUILT - O,Αγαθά - υπηρεσίες,Καταστήματα,Έπιπλα - είδη υγιεινής,483265.0774,4211403.0734,MULTIPOINT (483265.0773999998 4211403.0734)
571,LATIN HOUSE,Διασκέδαση,Κλαμπ,_,483067.253,4211403.9263,MULTIPOINT (483067.2529999996 4211403.9263)
572,ΦΑΡΜΑΚΕΙΟ ΓΕΩΡΓΙΑΔΟΥ ΜΑΡΙΑ,Περίθαλψη,Φαρμακεία,_,483621.7787,4211405.0268,MULTIPOINT (483621.7786999997 4211405.026799999)
573,GETITNOW,Αγαθά - υπηρεσίες,Καταστήματα,Υπολογιστές - Ηλεκτρονικά,483232.6012,4211409.6497,MULTIPOINT (483232.6012000004 4211409.649700001)
574,ΠΑΙΔΙΚΗ ΧΑΡΑ,Αθλητισμός και αναψυχή,Χώροι αναψυχής,Παιδικές χαρές,483534.791,4211413.1736,MULTIPOINT (483534.7910000002 4211413.173599999)
575,VIDMA,Φαγητό και ποτό,Ταβέρνες,Ψητοπωλεία,483640.5809,4211414.8565,MULTIPOINT (483640.5809000004 4211414.8565)
576,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,484510.2848,4211424.4184,MULTIPOINT (484510.2847999996 4211424.418400001)
577,ΕΥΓΕΝΙΔΗΣ,Αγαθά - υπηρεσίες,Καταστήματα,Έπιπλα - είδη υγιεινής,483240.1793,4211425.6486,MULTIPOINT (483240.1793 4211425.648600001)
578,FBBANK,Επιχειρήσεις,Τράπεζες,Καταστήματα,483062.6315,4211426.194,MULTIPOINT (483062.6315000001 4211426.194)
579,ΖΑΛΩΝΗ ΜΑΡΙΑ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,482227.2802,4211426.2938,MULTIPOINT (482227.2801999999 4211426.2938)
580,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,483574.821,4211426.3287,MULTIPOINT (483574.8210000005 4211426.3287)
581,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,483574.821,4211426.3287,MULTIPOINT (483574.8210000005 4211426.3287)
582,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,484407.7478,4211429.5998,MULTIPOINT (484407.7478 4211429.5998)
583,BP,Αυτοκίνηση,Πρατήρια βενζίνης,_,483573.0263,4211430.2099,MULTIPOINT (483573.0263 4211430.209899999)
584,ΚΟΝΤΟΛΕΣ ΑΘΑΝΑΣΙΟΣ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,482590.9192,4211436.6696,MULTIPOINT (482590.9192000004 4211436.669600001)
585,REVOIL,Αυτοκίνηση,Πρατήρια βενζίνης,_,482994.0216,4211438.358,MULTIPOINT (482994.0215999996 4211438.357999999)
586,ΔΙΘΥΡΑΜΒΟΣ,Πολιτισμός,Θέατρα,_,483193.5393,4211440.0386,MULTIPOINT (483193.5393000003 4211440.0386)
587,ΦΑΡΜΑΚΕΙΟ ΤΣΑΝΤΑΚΗΣ ΑΧΙΛΛΕΑΣ,Περίθαλψη,Φαρμακεία,_,482453.9382,4211441.6927,MULTIPOINT (482453.9381999997 4211441.6927)
588,ΦΑΡΜΑΚΕΙΟ,Περίθαλψη,Φαρμακεία,_,483346.3118,4211442.4986,MULTIPOINT (483346.3118000003 4211442.498600001)
589,ACS COURIER,Αγαθά - υπηρεσίες,Εμπορικές υπηρεσίες,_,483246.2231,4211447.6575,MULTIPOINT (483246.2231000001 4211447.657500001)
590,ΠΑΝΟΡΑΜΑ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Ζαχαροπλαστεία,483055.4563,4211448.2172,MULTIPOINT (483055.4562999997 4211448.2172)
591,ΦΑΡΜΑΚΕΙΟ ΛΙΤΟΥ ΕΙΡΗΝΗ,Περίθαλψη,Φαρμακεία,_,482190.7926,4211455.149,MULTIPOINT (482190.7926000003 4211455.149)
592,ΒΟΥΛΚΑΝΙΖΑΤΕΡ ΜΕΜΜΟΣ,Αυτοκίνηση,Συνεργεία αυτοκινήτων,_,483508.0043,4211455.7378,MULTIPOINT (483508.0043000001 4211455.7378)
593,PHOTOEXPERTS,Αγαθά - υπηρεσίες,Καταστήματα,Φωτογραφικά είδη,483065.7893,4211461.3086,MULTIPOINT (483065.7893000003 4211461.308599999)
594,ΦΑΡΜΑΚΕΙΟ ΠΑΧΥ ΑΝΝΑ Β.,Περίθαλψη,Φαρμακεία,_,482097.708,4211464.903,MULTIPOINT (482097.7079999996 4211464.903000001)
595,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,483259.0233,4211473.959,MULTIPOINT (483259.0232999995 4211473.959000001)
596,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,483183.7977,4211474.0989,MULTIPOINT (483183.7977 4211474.0989)
