poi_id,name,theme,class_name,subclass_n,x,y,geom
624,ΤΡΑΠΕΖΑ ΠΕΙΡΑΙΩΣ (ATE BANK),Επιχειρήσεις,Τράπεζες,Καταστήματα,482925.2093,4211535.1186,MULTIPOINT (482925.2093000002 4211535.1186)
625,ΤΡΑΠΕΖΑ ΠΕΙΡΑΙΩΣ (MARFIN EGNATIA BANK),Επιχειρήσεις,Τράπεζες,Καταστήματα,482906.9435,4211535.3552,MULTIPOINT (482906.9435000001 4211535.3552)
626,HONDOS CENTER,Αγαθά - υπηρεσίες,Καταστήματα,Καλλυντικά,483067.0429,4211535.8486,MULTIPOINT (483067.0428999998 4211535.8486)
627,BLUE PRINT,Διασκέδαση,Μπαρ,_,483052.8493,4211538.7286,MULTIPOINT (483052.8492999999 4211538.728599999)
628,OTESHOP,Αγαθά - υπηρεσίες,Καταστήματα,Είδη τηλεπικοινωνίας,483046.6693,4211549.9286,MULTIPOINT (483046.6693000002 4211549.9286)
629,MULTIRAMA,Αγαθά - υπηρεσίες,Καταστήματα,Υπολογιστές - Ηλεκτρονικά,483046.6693,4211549.9286,MULTIPOINT (483046.6693000002 4211549.9286)
630,ΦΑΡΜΑΚΕΙΟ ΜΕΡΑΚΟΥ ΑΙΚΑΤΕΡΙΝΗ,Περίθαλψη,Φαρμακεία,_,483189.1456,4211551.565,MULTIPOINT (483189.1456000004 4211551.564999999)
631,MULTIRAMA,Αγαθά - υπηρεσίες,Καταστήματα,Υπολογιστές - Ηλεκτρονικά,483286.4893,4211551.5786,MULTIPOINT (483286.4892999995 4211551.578600001)
632,ΓΕΡΜΑΝΟΣ,Αγαθά - υπηρεσίες,Καταστήματα,Υπολογιστές - Ηλεκτρονικά,483286.4893,4211551.5786,MULTIPOINT (483286.4892999995 4211551.578600001)
633,ΒΕΡΟΠΟΥΛΟΣ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,483244.0993,4211552.1586,MULTIPOINT (483244.0992999999 4211552.158600001)
634,DAL PROFESSORE,Φαγητό και ποτό,Εστιατόρια,Ιταλική κουζίνα,482778.2816,4211552.6367,MULTIPOINT (482778.2816000003 4211552.636700001)
635,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,482925.3426,4211553.0256,MULTIPOINT (482925.3426000001 4211553.025599999)
636,ΜΕΣΟΓΕΙΑΚΟ,Φαγητό και ποτό,Εστιατόρια,_,482778.9993,4211553.9986,MULTIPOINT (482778.9993000003 4211553.998600001)
637,CREPA,Φαγητό και ποτό,Εστιατόρια,Κρεπερί,483188.9993,4211553.9986,MULTIPOINT (483188.9993000003 4211553.998600001)
638,ΦΑΡΜΑΚΕΙΟ,Περίθαλψη,Φαρμακεία,_,482914.2386,4211555.0885,MULTIPOINT (482914.2385999998 4211555.088500001)
639,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,483198.0741,4211556.6777,MULTIPOINT (483198.0740999999 4211556.6777)
640,ΦΑΡΜΑΚΕΙΟ ΚΑΜΠΟΛΗΣ ΘΕΟΔΩΡΟΣ,Περίθαλψη,Φαρμακεία,_,483028.1262,4211557.6196,MULTIPOINT (483028.1261999998 4211557.6196)
641,E - PHOS,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Ανδρικά,483215.1693,4211559.2086,MULTIPOINT (483215.1693000002 4211559.2086)
642,Ο ΓΙΩΡΓΟΣ,Φαγητό και ποτό,Ταβέρνες,Ψητοπωλεία,483194.3056,4211559.9962,MULTIPOINT (483194.3055999996 4211559.996200001)
643,ΦΙΛΙΠΠΟΣ ΝΑΚΑΣ,Αγαθά - υπηρεσίες,Καταστήματα,Μουσικά όργανα,482997.5793,4211569.2086,MULTIPOINT (482997.5793000003 4211569.2086)
644,DORIAN FLOWERS,Αγαθά - υπηρεσίες,Καταστήματα,Ανθοπωλεία,483042.1266,4211569.3241,MULTIPOINT (483042.1266000001 4211569.324100001)
645,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,482939.3772,4211569.9266,MULTIPOINT (482939.3772 4211569.9266)
646,BONN,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Υποδήματα,483172.9393,4211573.0086,MULTIPOINT (483172.9392999997 4211573.0086)
647,ΣΠΑΘΑΡΕΙΟ ΜΟΥΣΕΙΟ ΘΕΑΤΡΟΥ ΣΚΙΩΝΝ,Τουρισμός και αξιοθέατα,Μουσεία,_,482951.3273,4211575.2577,MULTIPOINT (482951.3273 4211575.2577)
648,ΛΟΚΑΝΤΑ,Φαγητό και ποτό,Ταβέρνες,_,482712.4726,4211577.0581,MULTIPOINT (482712.4726 4211577.0581)
649,ELEPHANT,Αγαθά - υπηρεσίες,Καταστήματα,Ηλεκτρικά είδη,483296.1993,4211577.8086,MULTIPOINT (483296.1993000004 4211577.808599999)
650,FILLO,Αγαθά - υπηρεσίες,Καταστήματα,Ανθοπωλεία,482974.6003,4211578.5666,MULTIPOINT (482974.6003 4211578.5666)
651,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,482137.0414,4211579.6716,MULTIPOINT (482137.0414000005 4211579.671599999)
652,ΑΣΒΕΣΤΟΛΑΚΟΣ,Φαγητό και ποτό,Ταβέρνες,_,483091.4632,4211582.0821,MULTIPOINT (483091.4632000001 4211582.0821)
653,TBANK,Επιχειρήσεις,Τράπεζες,Καταστήματα,483006.5989,4211583.2249,MULTIPOINT (483006.5988999996 4211583.2249)
654,ΦΑΡΜΑΚΕΙΟ ΦΙΛΙΠΠΟΥ ΕΛΕΝΗ Ν.,Περίθαλψη,Φαρμακεία,_,482632.047,4211583.4239,MULTIPOINT (482632.0470000003 4211583.423900001)
655,ΞΕΝΟΦΩΝ ΚΟΤΟΠΟΥΛΑ,Φαγητό και ποτό,Ταβέρνες,Ψητοπωλεία,482725.8661,4211587.5955,MULTIPOINT (482725.8661000002 4211587.5955)
656,ΤΡΑΠΕΖΑ ΠΕΙΡΑΙΩΣ,Επιχειρήσεις,Τράπεζες,Καταστήματα,482938.7545,4211588.5823,MULTIPOINT (482938.7544999998 4211588.5823)
657,SHELL,Αυτοκίνηση,Πρατήρια βενζίνης,_,483335.8036,4211591.6895,MULTIPOINT (483335.8036000002 4211591.6895)
658,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,482946.7521,4211591.7569,MULTIPOINT (482946.7521000002 4211591.756899999)
659,ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ,Επιχειρήσεις,Τράπεζες,Καταστήματα,482773.8493,4211593.0586,MULTIPOINT (482773.8492999999 4211593.058599999)
660,ΜΠΕΝΡΟΥΜΠΗΣ,Αγαθά - υπηρεσίες,Καταστήματα,Ηλεκτρικά είδη,483214.4393,4211595.4186,MULTIPOINT (483214.4392999997 4211595.4186)
661,ΑΛΥΦΑΝΤΗΣ ΓΕΩΡΓΙΟΣ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,483983.0328,4211597.273,MULTIPOINT (483983.0328000002 4211597.273)
662,ΦΑΡΜΑΚΕΙΟ ΖΑΚΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ,Περίθαλψη,Φαρμακεία,_,483059.9186,4211599.8553,MULTIPOINT (483059.9186000004 4211599.8553)
663,STARBUCKS,Διασκέδαση,Καφετέριες,_,482942.7699,4211601.2,MULTIPOINT (482942.7698999997 4211601.199999999)
664,DOMINO'S PIZZA,Φαγητό και ποτό,Εστιατόρια,Πιτσαρίες,483340.6493,4211602.9086,MULTIPOINT (483340.6492999997 4211602.908600001)
665,ΝΕΟ ΤΕΡΜΑ ΑΜΑΡΟΥΣΙΟΥ,Διάφορα,Σημεία γενικού ενδιαφέροντος,Γειτονιές,482128.98,4211605.01,MULTIPOINT (482128.9800000004 4211605.01)
666,ONEWAY (TECHNOSTORES),Αγαθά - υπηρεσίες,Καταστήματα,Υπολογιστές - Ηλεκτρονικά,483049.4593,4211605.1486,MULTIPOINT (483049.4593000002 4211605.148600001)
667,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,482978.7735,4211605.1778,MULTIPOINT (482978.7735000001 4211605.1778)
668,ΠΑΝΑΓΙΑ (ΚΟΙΜΗΣΙΣ ΘΕΟΤΟΚΟΥ),Διάφορα,Θρησκευτικοί χώροι,Εκκλησίες,483116.7999,4211606.0225,MULTIPOINT (483116.7999 4211606.022500001)
669,EMPORIKI BANK,Επιχειρήσεις,Τράπεζες,Καταστήματα,482956.0655,4211606.1454,MULTIPOINT (482956.0654999996 4211606.145400001)
670,ΚΟΟΚΑΙ,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,482914.6293,4211606.7286,MULTIPOINT (482914.6293000001 4211606.728599999)
671,ΠΛΑΤΕΙΑ ΚΑΣΤΑΛΙΑΣ,Αθλητισμός και αναψυχή,Δημόσιοι χώροι,Πλατείες,482977.257,4211608.9551,MULTIPOINT (482977.2570000002 4211608.9551)
672,KAHLUA CLUB,Διασκέδαση,Κλαμπ,_,484533.9993,4211609.9986,MULTIPOINT (484533.9993000003 4211609.998600001)
673,ΦΑΡΜΑΚΕΙΟ ΛΙΟΛΙΟΥ - ΚΑΤΣΑΡΗ ΜΑΛΒΙΝΑ,Περίθαλψη,Φαρμακεία,_,482940.9342,4211611.3456,MULTIPOINT (482940.9342 4211611.3456)
674,ΦΑΡΜΑΚΕΙΟ ΔΡΟΣΟΥ ΑΙΚΑΤΕΡΙΝΗ,Περίθαλψη,Φαρμακεία,_,482726.1776,4211613.5545,MULTIPOINT (482726.1776000001 4211613.554500001)
675,ΠΑΙΔΟΤΟΠΟΣ ΜΠΑΛΟΝΙΑ,Αθλητισμός και αναψυχή,Χώροι αναψυχής,Παιδότοπος,482733.8187,4211614.2092,MULTIPOINT (482733.8186999997 4211614.2092)
676,LIPOGEN,Αγαθά - υπηρεσίες,Εμπορικές υπηρεσίες,Χώροι αισθητικής - ομορφιάς,483061.5893,4211615.4486,MULTIPOINT (483061.5893000001 4211615.4486)
677,ΤΡΑΠΕΖΑ ΠΕΙΡΑΙΩΣ (ΤΡΑΠΕΖΑ ΚΥΠΡΟΥ),Επιχειρήσεις,Τράπεζες,Καταστήματα,483006.2167,4211615.5585,MULTIPOINT (483006.2166999998 4211615.558499999)
678,PARKING,Αυτοκίνηση,Χώροι στάθμευσης,_,482634.5308,4211620.2252,MULTIPOINT (482634.5307999998 4211620.225199999)
679,THIROS,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,482874.8493,4211620.7386,MULTIPOINT (482874.8492999999 4211620.738600001)
680,MORGAN,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Γυναικεία,482874.8493,4211620.7386,MULTIPOINT (482874.8492999999 4211620.738600001)
681,ΣΤΟΑ,Φαγητό και ποτό,Εστιατόρια,Κρεπερί,482902.6593,4211623.7786,MULTIPOINT (482902.6593000004 4211623.7786)
682,EFG EUROBANK,Επιχειρήσεις,Τράπεζες,Καταστήματα,482902.6593,4211623.7786,MULTIPOINT (482902.6593000004 4211623.7786)
683,ΦΑΡΜΑΚΕΙΟ,Περίθαλψη,Φαρμακεία,_,483715.5281,4211625.4726,MULTIPOINT (483715.5280999998 4211625.4726)
684,CALZEDONIA,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Εσώρουχα,483027.9493,4211625.5286,MULTIPOINT (483027.9493000004 4211625.5286)
685,ΣΤΟΑ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Ζαχαροπλαστεία,482903.2206,4211625.5867,MULTIPOINT (482903.2205999997 4211625.5867)
686,Ο ΜΥΘΟΣ,Φαγητό και ποτό,Ταβέρνες,Ψητοπωλεία,482954.0545,4211627.063,MULTIPOINT (482954.0544999996 4211627.062999999)
687,COFFEEWAY,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,_,483019.5593,4211627.4386,MULTIPOINT (483019.5592999998 4211627.4386)
688,ΜΟΥΣΕΙΟ ΦΥΣΙΚΗΣ ΙΣΤΟΡΙΑΣ ΔΗΜΟΥ ΑΜΑΡΟΥΣΙΟΥ,Τουρισμός και αξιοθέατα,Μουσεία,_,482389.1934,4211627.48,MULTIPOINT (482389.1934000002 4211627.48)
689,ΦΑΡΜΑΚΕΙΟ,Περίθαλψη,Φαρμακεία,_,483427.8068,4211628.8701,MULTIPOINT (483427.8068000004 4211628.870100001)
690,ΔΟΥΣΗΣ - ΡΑΣΣΙΑΣ ΝΙΚΟΣ,Περίθαλψη,Κλινικές,Ιδιωτικές κλινικές,482799.8604,4211631.4684,MULTIPOINT (482799.8603999997 4211631.4684)
691,MC DONALD'S,Φαγητό και ποτό,Γρήγορο φαγητό,Αλυσίδες Fast Food,482946.4293,4211631.9986,MULTIPOINT (482946.4293 4211631.998600001)
692,LEONARD'S,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Υποδήματα,482880.4293,4211632.5186,MULTIPOINT (482880.4293 4211632.5186)
693,JUNE 1ST 1935,Διασκέδαση,Μπαρ,_,482651.9993,4211633.9986,MULTIPOINT (482651.9993000003 4211633.998600001)
694,ΦΑΡΜΑΚΕΙΟ ΚΑΠΟΥΡΑΛΗ ΚΑΛΛΙΟΠΗ,Περίθαλψη,Φαρμακεία,_,483332.0625,4211641.1672,MULTIPOINT (483332.0625 4211641.167199999)
695,KEM,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,482717.4893,4211641.6386,MULTIPOINT (482717.4892999995 4211641.638599999)
696,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,482964.6396,4211643.2244,MULTIPOINT (482964.6396000003 4211643.224400001)
697,JOIN,Αγαθά - υπηρεσίες,Καταστήματα,Έπιπλα - είδη υγιεινής,483355.8693,4211644.2586,MULTIPOINT (483355.8693000004 4211644.2586)
698,HSBC,Επιχειρήσεις,Τράπεζες,Καταστήματα,482823.9793,4211644.3286,MULTIPOINT (482823.9792999998 4211644.328600001)
699,TBANK,Επιχειρήσεις,Τράπεζες,Καταστήματα,482609.1093,4211649.6186,MULTIPOINT (482609.1092999997 4211649.6186)
700,GALERIE DE BEAUTE,Αγαθά - υπηρεσίες,Καταστήματα,Καλλυντικά,482953.1593,4211652.2186,MULTIPOINT (482953.1593000004 4211652.218599999)
701,ΦΑΡΜΑΚΕΙΟ ΧΑΤΗΡΑΣ ΓΕΩΡΓΙΟΣ,Περίθαλψη,Φαρμακεία,_,483668.368,4211652.547,MULTIPOINT (483668.3679999998 4211652.547)
702,ΚΑΛΛΙΤΕΡΗ ΟΛΥΜΠΙΑ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,483668.8363,4211652.9918,MULTIPOINT (483668.8362999996 4211652.991800001)
703,FRIANDISES,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Ζαχαροπλαστεία,483020.4703,4211654.2493,MULTIPOINT (483020.4703000002 4211654.249299999)
704,AU BORD DE L' EAU,Διασκέδαση,Μπαρ,_,482643.9993,4211658.9986,MULTIPOINT (482643.9993000003 4211658.998600001)
705,ΦΑΡΜΑΚΕΙΟ ΑΜΠΑΤΖΟΓΛΟΥ ΘΕΟΔ.,Περίθαλψη,Φαρμακεία,_,482957.4675,4211659.7645,MULTIPOINT (482957.4675000003 4211659.7645)
706,BIOMEDICIN,Περίθαλψη,Κλινικές,Ιδιωτικές κλινικές,482779.8732,4211661.9608,MULTIPOINT (482779.8732000003 4211661.9608)
707,ΦΑΡΜΑΚΕΙΟ ΘΕΟΦΥΛΑΚΤΟΥ ΑΘΗΝΑ,Περίθαλψη,Φαρμακεία,_,484539.8448,4211664.4081,MULTIPOINT (484539.8448000001 4211664.4081)
708,BONN,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Υποδήματα,482773.1293,4211666.3086,MULTIPOINT (482773.1293000001 4211666.308599999)
709,DIA,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,482598.9393,4211667.8186,MULTIPOINT (482598.9392999997 4211667.818600001)
710,ΒΑΣΙΛΗΑΣ,Αγαθά - υπηρεσίες,Καταστήματα,Υπολογιστές - Ηλεκτρονικά,482978.7093,4211668.0186,MULTIPOINT (482978.7093000002 4211668.0186)
711,ΦΑΡΜΑΚΕΙΟ ΓΙΑΝΝΟΥΛΗ ΕΛΕΝΗ,Περίθαλψη,Φαρμακεία,_,482809.9474,4211669.6001,MULTIPOINT (482809.9473999999 4211669.600099999)
712,ΓΡΗΓΟΡΗΣ ΜΙΚΡΟΓΕΥΜΑΤΑ,Φαγητό και ποτό,Γρήγορο φαγητό,Αλυσίδες Fast Food,482979.9214,4211674.1979,MULTIPOINT (482979.9214000003 4211674.197899999)
713,WIND,Αγαθά - υπηρεσίες,Καταστήματα,Είδη τηλεπικοινωνίας,482928.2998,4211680.6739,MULTIPOINT (482928.2998000002 4211680.673900001)
714,OXETTE,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Κοσμήματα,482739.5054,4211680.7163,MULTIPOINT (482739.5054000001 4211680.7163)
715,FOTOPOULOU GALLERY,Πολιτισμός,Χώροι τέχνης,_,482955.4439,4211681.7014,MULTIPOINT (482955.4439000003 4211681.701400001)
716,ΦΑΡΜΑΚΕΙΟ ΠΑΠΑΪΩΑΝΝΟΥ ΒΑΣΙΛΙΚΗ,Περίθαλψη,Φαρμακεία,_,482462.312,4211689.7449,MULTIPOINT (482462.3119999999 4211689.744899999)
717,HAPPYLAND ΚΟΥΖΕΙΝ,Αγαθά - υπηρεσίες,Καταστήματα,Είδη δώρων,482801.3993,4211691.0686,MULTIPOINT (482801.3992999997 4211691.068600001)
718,ΝΗΠΙΑΓΩΓΕΙΟ ΑΜΑΡΟΥΣΙΟΥ 8Ο,Εκπαίδευση,Πρωτοβάθμια,Νηπιαγωγεία,484211.4883,4211691.1579,MULTIPOINT (484211.4883000003 4211691.1579)
719,ΔΗΜΟΤΙΚΟ ΑΜΑΡΟΥΣΙΟΥ ΔΕΚΑΤΟ,Εκπαίδευση,Πρωτοβάθμια,Δημοτικά,484211.4883,4211691.1579,MULTIPOINT (484211.4883000003 4211691.1579)
720,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,483360.8599,4211691.7248,MULTIPOINT (483360.8598999996 4211691.7248)
721,ΡΕΖΕΡΒΑ,Αγαθά - υπηρεσίες,Καταστήματα,Είδη τέχνης,482745.7993,4211693.2886,MULTIPOINT (482745.7993000001 4211693.2886)
722,BENETTON,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,482909.45,4211693.7295,MULTIPOINT (482909.4500000002 4211693.729499999)
723,POSTO,Φαγητό και ποτό,Ταβέρνες,Ψητοπωλεία,482977.8846,4211695.8054,MULTIPOINT (482977.8846000005 4211695.805400001)
724,KEM,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Αξεσουάρ,482872.5397,4211697.3916,MULTIPOINT (482872.5396999996 4211697.3916)
725,VODAFONE,Αγαθά - υπηρεσίες,Καταστήματα,Είδη τηλεπικοινωνίας,482872.5397,4211697.3916,MULTIPOINT (482872.5396999996 4211697.3916)
726,ΑΓΙΑ ΕΛΕΟΥΣΑ,Διάφορα,Θρησκευτικοί χώροι,Εκκλησίες,483886.1806,4211697.4837,MULTIPOINT (483886.1805999996 4211697.4837)
727,ΑΝΑΒΡΥΤΑ ΑΜΑΡΟΥΣΙΟΥ,Διάφορα,Σημεία γενικού ενδιαφέροντος,Γειτονιές,483749.14,4211697.9,MULTIPOINT (483749.1399999997 4211697.9)
728,KEM,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,482872.8493,4211699.2986,MULTIPOINT (482872.8492999999 4211699.298599999)
729,THE BODY SHOP,Αγαθά - υπηρεσίες,Καταστήματα,Καλλυντικά,482912.5893,4211700.2186,MULTIPOINT (482912.5893000001 4211700.218599999)
730,ΒΑΛΑΧΑ ΡΑΦΑΕΛΑ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,483553.5509,4211702.8789,MULTIPOINT (483553.5509000001 4211702.878900001)
731,ATTICA BANK,Επιχειρήσεις,Τράπεζες,Καταστήματα,482818.4693,4211704.1586,MULTIPOINT (482818.4693 4211704.158600001)
732,ΣΕΗΟΣ (EURONICS),Αγαθά - υπηρεσίες,Καταστήματα,Ηλεκτρικά είδη,482858.3593,4211706.0186,MULTIPOINT (482858.3592999997 4211706.0186)
733,ALPHA BANK,Επιχειρήσεις,Τράπεζες,Καταστήματα,482884.9393,4211707.2986,MULTIPOINT (482884.9392999997 4211707.298599999)
734,ΑΓΙΑ ΒΑΡΒΑΡΑ,Διάφορα,Θρησκευτικοί χώροι,Εκκλησίες,483564.1052,4211708.3066,MULTIPOINT (483564.1052000001 4211708.306600001)
735,ΓΕΡΜΑΝΟΣ,Αγαθά - υπηρεσίες,Καταστήματα,Υπολογιστές - Ηλεκτρονικά,482737.3893,4211712.4986,MULTIPOINT (482737.3892999999 4211712.498600001)
736,OMNISHOP,Αγαθά - υπηρεσίες,Καταστήματα,Είδη δώρων,482808.0593,4211714.4586,MULTIPOINT (482808.0592999998 4211714.4586)
737,ONLINE,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,_,482836.6393,4211716.1186,MULTIPOINT (482836.6392999999 4211716.1186)
738,ΕΛΛΗΝΙΚΑ ΠΕΤΡΕΛΑΙΑ,Δημόσιος τομέας,Δημόσιες υπηρεσίες,_,483340.5851,4211718.6474,MULTIPOINT (483340.5850999998 4211718.647399999)
739,SATO,Αγαθά - υπηρεσίες,Καταστήματα,Έπιπλα - είδη υγιεινής,483372.7193,4211719.6186,MULTIPOINT (483372.7193 4211719.6186)
740,ΠΛΑΤΕΙΑ ΕΥΤΕΡΠΗΣ,Αθλητισμός και αναψυχή,Δημόσιοι χώροι,Πλατείες,482689.6281,4211724.2492,MULTIPOINT (482689.6281000003 4211724.249199999)
741,ΦΑΚΙΝΟΣ ΣΠΥΡΙΔΩΝ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,Σουπερμάρκετ,482334.3746,4211726.1285,MULTIPOINT (482334.3745999997 4211726.1285)
742,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,482701.7681,4211734.7272,MULTIPOINT (482701.7681 4211734.7272)
743,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,482653.7858,4211738.2,MULTIPOINT (482653.7857999997 4211738.199999999)
744,GENIKI BANK,Επιχειρήσεις,Τράπεζες,Καταστήματα,483005.5593,4211741.9792,MULTIPOINT (483005.5592999998 4211741.9792)
745,UNDERCOLORS,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Εσώρουχα,482992.2493,4211743.6286,MULTIPOINT (482992.2493000003 4211743.628599999)
746,GALERIE DE BEAUTE,Αγαθά - υπηρεσίες,Καταστήματα,Καλλυντικά,482814.8993,4211744.3386,MULTIPOINT (482814.8992999997 4211744.3386)
747,ΑΝΕΤΟΝ,Φαγητό και ποτό,Εστιατόρια,Διεθνής κουζίνα,482192.804,4211751.2603,MULTIPOINT (482192.8039999995 4211751.260299999)
748,ΦΑΡΜΑΚΕΙΟ ΣΥΣΤΕΓΑΣΜΕΝΑ ΦΑΡΜΑΚΕΙΑ ΑΜΠΑΤΖΟΓΛΟΥ Σ. ΔΗΜΗΤΡΕΛΟΥ Δ,Περίθαλψη,Φαρμακεία,_,482804.7458,4211752.3206,MULTIPOINT (482804.7457999997 4211752.320599999)
749,IKIA,Αγαθά - υπηρεσίες,Καταστήματα,Είδη δώρων,483010.3493,4211753.8386,MULTIPOINT (483010.3492999999 4211753.8386)
750,EVEREST,Φαγητό και ποτό,Γρήγορο φαγητό,Αλυσίδες Fast Food,482773.6044,4211760.5841,MULTIPOINT (482773.6043999996 4211760.584100001)
751,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,482744.482,4211761.6119,MULTIPOINT (482744.4819999998 4211761.6119)
752,ΦΑΡΜΑΚΕΙΟ ΠΑΠΑΓΙΑΝΝΑΚΟΣ ΚΟΜΝΑΣ,Περίθαλψη,Φαρμακεία,_,484731.9827,4211764.4389,MULTIPOINT (484731.9826999996 4211764.438899999)
753,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,482736.4979,4211768.3722,MULTIPOINT (482736.4978999998 4211768.372199999)
754,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,483019.1045,4211769.47,MULTIPOINT (483019.1045000004 4211769.470000001)
755,ΠΕΡΙΠΤΕΡΟ,Αγαθά - υπηρεσίες,Περίπτερα,_,482683.1837,4211771.8561,MULTIPOINT (482683.1836999999 4211771.8561)
756,ΚΑΒΑ ΣΥΜΚΟ,Αγαθά - υπηρεσίες,Καταστήματα τροφίμων,_,482780.1139,4211773.299,MULTIPOINT (482780.1139000002 4211773.299000001)
757,EKO,Αυτοκίνηση,Πρατήρια βενζίνης,_,483374.5913,4211773.7718,MULTIPOINT (483374.5913000004 4211773.7718)
758,ΠΛΑΤΕΙΑ ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ,Αθλητισμός και αναψυχή,Δημόσιοι χώροι,Πλατείες,482678.4915,4211774.5866,MULTIPOINT (482678.4914999995 4211774.5866)
759,CROCODILINO,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Παιδικά - είδη εγκυμοσύνης,482877.0193,4211781.2686,MULTIPOINT (482877.0192999998 4211781.2686)
760,ONET,Διασκέδαση,Καφετέριες,Ίντερνετ καφέ,482652.0093,4211782.3286,MULTIPOINT (482652.0093 4211782.328600001)
761,ΣΤΑΘΜΟΣ ΗΣΑΠ ΜΑΡΟΥΣΙ,Μετακίνηση,Αστικές Συγκοινωνίες,Σταθμοί Μετρό,482736.4083,4211783.4039,MULTIPOINT (482736.4083000002 4211783.403899999)
762,E SHOP POINT,Αγαθά - υπηρεσίες,Καταστήματα,Υπολογιστές - Ηλεκτρονικά,482631.1173,4211784.1137,MULTIPOINT (482631.1173 4211784.113700001)
763,ΦΑΡΜΑΚΕΙΟ ΚΟΤΖΙΑΣ ΧΡΗΣΤΟΣ,Περίθαλψη,Φαρμακεία,_,482920.6636,4211788.291,MULTIPOINT (482920.6635999996 4211788.290999999)
764,ΦΑΡΜΑΚΕΙΟ ΠΕΤΜΕΖΑΣ ΙΩΑΝΝΗΣ,Περίθαλψη,Φαρμακεία,_,483006.3364,4211791.1001,MULTIPOINT (483006.3364000004 4211791.100099999)
765,ELIN GAS,Αυτοκίνηση,Πρατήρια υγραερίου,_,483279.0029,4211792.8277,MULTIPOINT (483279.0028999997 4211792.8277)
766,THE CARTOON STORE,Αγαθά - υπηρεσίες,Καταστήματα ένδυσης,Παιδικά - είδη εγκυμοσύνης,482865.2693,4211798.3886,MULTIPOINT (482865.2692999998 4211798.388599999)
767,ΡΑΔΙΟΦΩΝΙΚΟΣ ΣΤΑΘΜΟΣ CAPITAL 96.3,Επιχειρήσεις,Επιχειρήσεις,_,483307.9683,4211799.4275,MULTIPOINT (483307.9682999998 4211799.4275)
768,BITS AND BYTE,Διασκέδαση,Καφετέριες,Ίντερνετ καφέ,482628.9332,4211800.8333,MULTIPOINT (482628.9331999999 4211800.8333)
769,GRILL,Φαγητό και ποτό,Ταβέρνες,Ψητοπωλεία,482722.8066,4211801.7437,MULTIPOINT (482722.8065999998 4211801.7437)
